movie_id,budget,popularity,release_date,revenue,runtime,title,genre_Action,genre_Adventure,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Other,genre_Romance,genre_Science Fiction,genre_Thriller,award_season,summer_blockbuster,winter_low_season,likely_sequel,director,num_prev_films_by_director,production_company_Columbia Pictures,production_company_Metro-Goldwyn-Mayer (MGM),production_company_New Line Cinema,production_company_Other,production_company_Paramount Pictures,production_company_Relativity Media,production_company_Touchstone Pictures,production_company_Twentieth Century Fox Film Corporation,production_company_Universal Pictures,production_company_Walt Disney Pictures,production_company_Warner Bros.,lead_actor,second_actor,third_actor
28178,16000000,43.217089,2009-06-13,47801389,93.0,Hachi: A Dog's Tale,0,0,0,0,1,1,0,0,0,0,0,False,True,False,False,Lasse Hallström,4,0,0,0,1,0,0,0,0,0,0,0,Richard Gere,Joan Allen,Jason Alexander
22971,25000000,19.402816,2010-02-04,114977104,115.0,Dear John,0,0,0,0,1,0,0,1,1,0,0,False,False,True,False,Lasse Hallström,5,0,0,0,1,0,0,0,0,0,0,0,Amanda Seyfried,Channing Tatum,Henry Thomas
112949,28000000,37.729059,2013-02-07,97594140,115.0,Safe Haven,0,0,0,0,0,0,0,0,1,0,0,False,False,True,False,Lasse Hallström,6,0,0,0,1,0,1,0,0,0,0,0,Julianne Hough,Josh Duhamel,Cobie Smulders
228194,22000000,27.898438,2014-08-06,88880821,122.0,The Hundred-Foot Journey,0,0,0,0,1,0,0,0,0,0,0,False,True,False,False,Lasse Hallström,7,0,0,0,1,0,0,1,0,0,0,0,Helen Mirren,Manish Dayal,Om Puri
21525,300000,1.314576,2003-01-23,7808524,112.0,Tupac: Resurrection,0,0,0,0,0,0,0,1,0,0,0,False,False,True,False,Lauren Lazin,0,0,0,0,1,1,0,0,0,0,0,0,Tupac Amaru Shakur,,
8841,0,13.437038,2008-09-24,28814580,128.0,The Class,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,Laurent Cantet,0,0,0,0,1,0,0,0,0,0,0,0,François Bégaudeau,Franck Keïta,Esmeralda Ouertani
13075,2000000,4.261509,2006-09-08,622806,96.0,Sherrybaby,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,Laurie Collyer,0,0,0,0,1,0,0,0,0,0,0,0,Maggie Gyllenhaal,Michelle Hurst,Sandra Rodríguez
10992,60000000,18.735024,2001-07-04,93375151,87.0,Cats & Dogs,0,0,1,0,0,1,0,0,0,0,0,False,True,False,False,Lawrence Guterman,0,0,0,0,1,0,0,0,0,0,0,1,Jeff Goldblum,Elizabeth Perkins,Alexander Pollock
116977,65000000,5.258726,2012-06-15,73706,87.0,Foodfight!,1,0,1,0,0,1,0,1,0,0,0,False,True,False,False,Lawrence Kasanoff,0,0,0,0,1,0,0,0,0,0,0,0,Charlie Sheen,Wayne Brady,Hilary Duff
12160,63000000,13.859307,1994-06-24,25052000,191.0,Wyatt Earp,1,0,0,0,1,0,0,1,0,0,0,False,True,False,False,Lawrence Kasdan,0,0,0,0,1,0,0,0,0,0,0,1,Kevin Costner,Dennis Quaid,Gene Hackman
6171,68000000,26.792794,2003-03-21,75715436,136.0,Dreamcatcher,0,0,0,0,1,0,0,1,0,1,1,False,False,True,False,Lawrence Kasdan,1,0,0,0,1,0,0,0,0,0,0,0,Morgan Freeman,Thomas Jane,Jason Lee
25793,10000000,18.664624,2009-11-06,47536959,110.0,Precious,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,Lee Daniels,0,0,0,0,1,0,0,0,0,0,0,0,Gabourey Sidibe,Mo'Nique,Paula Patton
132363,25000000,32.105328,2013-08-16,115922175,132.0,The Butler,0,0,0,0,1,0,0,0,0,0,0,False,True,False,False,Lee Daniels,1,0,0,0,1,0,0,0,0,0,0,0,Forest Whitaker,David Banner,Michael Rainey Jr.
9433,0,20.632673,1997-09-06,43312294,117.0,The Edge,1,1,0,0,1,0,0,0,0,0,0,True,False,False,False,Lee Tamahori,0,0,0,0,1,0,0,0,0,0,0,0,Alec Baldwin,Anthony Hopkins,Elle Macpherson
2043,60000000,21.252797,2001-04-06,105178561,104.0,Along Came a Spider,1,0,0,1,0,0,0,1,0,0,1,False,False,True,False,Lee Tamahori,1,0,0,0,1,1,0,0,0,0,0,0,Morgan Freeman,Monica Potter,Michael Wincott
36669,140000000,54.159392,2002-11-17,431971116,133.0,Die Another Day,1,1,0,0,0,0,0,0,0,0,1,True,False,False,False,Lee Tamahori,2,0,0,0,1,0,0,0,0,0,0,0,Pierce Brosnan,Halle Berry,Rosamund Pike
11679,60000000,36.689223,2005-04-27,71073932,101.0,xXx: State of the Union,1,1,0,1,1,0,0,1,0,0,1,False,False,True,False,Lee Tamahori,3,0,0,0,1,0,0,0,0,0,0,0,Ice Cube,Samuel L. Jackson,Willem Dafoe
62630,19100000,10.559414,2011-02-11,5728213,109.0,The Devil's Double,1,0,0,1,1,0,0,1,0,0,1,False,False,True,False,Lee Tamahori,4,0,0,0,1,0,0,0,0,0,0,0,Dominic Cooper,Ludivine Sagnier,Raad Rawi
84184,0,9.436431,2012-08-03,3094813,91.0,Celeste & Jesse Forever,0,0,1,0,1,0,0,0,1,0,0,False,True,False,False,Lee Toland Krieger,0,0,0,0,1,0,0,0,0,0,0,0,Rashida Jones,Andy Samberg,Elijah Wood
293863,25000000,82.052056,2015-04-16,65663276,112.0,The Age of Adaline,0,0,0,0,1,0,1,0,1,0,0,False,False,True,False,Lee Toland Krieger,1,0,0,0,1,0,0,0,0,0,0,0,Blake Lively,Michiel Huisman,Harrison Ford
10193,200000000,59.995418,2010-06-16,1066969703,103.0,Toy Story 3,0,0,1,0,0,1,0,1,0,0,0,False,True,False,True,Lee Unkrich,0,0,0,0,1,0,0,0,0,0,1,0,Tom Hanks,Tim Allen,Ned Beatty
